english	jl	gjl	human	mass	animals	time	deriv	disyllabic
thepriest	praest	m	human	not	not	not	not	not
thestranger2	okaanukaer	m	human	not	not	not	not	not
thegrandparents	morfarfoeraeldrer	m	human	not	not	not	not	not
theminister	menister	m	human	not	not	not	not	not
thecousin	kusin	m	human	not	not	not	not	not
thefriend2	kamrat	m	human	not	not	not	not	not
theparents	foeraelder	m	human	not	not	not	not	not
thepupil	elev	m	human	not	not	not	not	not
thejudge	domare	m	human	not	not	not	not	not
therelatives2	slaekting	m	human	not	not	not	ingna	not
thestranger3	fraemling	m	human	not	not	not	ingna	not
thedescendants	aettling	m	human	not	not	not	ingna	not
theyouth	ongdom	m	human	not	not	not	dom	not
thebeggar	tiggar	m	human	not	not	not	ar	not
thecarpenter	snekkar	m	human	not	not	not	ar	not
thetailor	skraeddar	m	human	not	not	not	ar	not
theshoemaker	skomakar	m	human	not	not	not	ar	not
theservant1	opp-passar	m	human	not	not	not	ar	not
themason	murar	m	human	not	not	not	ar	not
thecitizen1	meborjar	m	human	not	not	not	ar	not
thepotter	krukmakar	m	human	not	not	not	ar	not
theherdsman	jetar	m	human	not	not	not	ar	not
thepoet	diktar	m	human	not	not	not	ar	not
thecattlefarmer	boskapsuppfoear	m	human	not	not	not	ar	not
theknowledge	kunskap	n	not	not	not	not	skap	not
theleadership	ledarskap	n	not	not	not	not	skap	not
theunfriendliness	ovaenskap	f	not	not	not	not	skap	not
thescience	veitskap	m	not	not	not	not	skap	not
thethunder2	aaska	f	not	not	not	not	not	a
thedrunkenness	fylla	f	not	not	not	not	not	a
thewoundorsore1	otaarrda	f	not	not	not	not	not	a
thebag	paasa	m	not	not	not	not	not	a
thegoiter	struma	f	not	not	not	not	not	a
theface1	syna	f	not	not	not	not	not	a
thevagina1	tuppa	f	not	not	not	not	not	a
thesoulorspirit	ande	m	not	not	not	not	not	e
thebooty	byte	n	not	not	not	not	not	e
theitch	kLaaue	m	not	not	not	not	not	e
thearcticlights1	lyse	n	not	not	not	not	not	e
themanner1	maate	n	not	not	not	not	not	e
thebadluck1	ohaeppe	f	not	not	not	not	not	e
themagic3	puke	m	not	not	not	not	not	e
thedifference	skjeLne	m	not	not	not	not	not	e
thesockorstocking1	straampe	f	not	not	not	not	not	e
thejealousy	svortsjuke	f	not	not	not	not	not	e
thewoodwork	vaerse	n	not	not	not	not	not	e
thetool1	bune	m	not	not	not	not	not	e
thepension	pangsion	m	not	not	not	not	ion	not
theintention	meining	m	not	not	not	not	ingv	not
theornamentoradornment1	utsmykkning	f	not	not	not	not	ingv	not
thewoman'sdress	kLaenning	m	not	not	not	not	ingna	not
thecrime2	brottsligheit	f	not	not	not	not	heit	not
theloneliness	einsamheit	f	not	not	not	not	heit	not
thewhole	heilheit	f	not	not	not	not	heit	not
theadultery	otroheit	f	not	not	not	not	heit	not
thedoubt2	ovissheit	f	not	not	not	not	heit	not
theanger	sinnheit	f	not	not	not	not	heit	not
thetiredness	troettheit	f	not	not	not	not	heit	not
thecelery	selleri	f	not	not	not	not	eri	not
thewaste	sloeseri	n	not	not	not	not	eri	not
thechildhood	barndom	m	not	not	not	not	dom	not
thecopper	koppar	m	not	not	not	not	arphon	not
themonth	maaune	m	not	not	not	time	not	e
thebeginning	boerjan	m	not	not	not	time	not	not
thetwilight	maarsning	m	not	not	not	time	not	not
thedawn2	morasia	f	not	not	not	time	not	not
theend	slut	n	not	not	not	time	not	not
thedawn1	ljoesning	m	not	not	not	time	ingna	not
thebeaver1	bjur	m	not	not	animal	not	not	not
thesquirrel2	ikon	m	not	not	animal	not	not	not
thegoose	gaaus	f	not	not	animal	not	not	not
thespider	kongro	f	not	not	animal	not	not	not
thewindow2	vinnoeuge	n	not	not	not	not	not	e
therudder1	styre	n	not	not	not	not	not	e
thepiece2	stykkje	n	not	not	not	not	not	e
